NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
MGMT-MEDIATED DNA DAMAGE REVERSAL%REACTOME DATABASE ID RELEASE 79%5657655	1		Rejected!	
NEURODEGENERATIVE DISEASES%REACTOME%R-HSA-8863678.1	21	19		
DEFECTIVE MISMATCH REPAIR ASSOCIATED WITH MLH1%REACTOME DATABASE ID RELEASE 79%5545483	2		Rejected!	
FBXL7 DOWN-REGULATES AURKA DURING MITOTIC ENTRY AND IN EARLY MITOSIS%REACTOME DATABASE ID RELEASE 79%8854050	55	52		
BIOSYNTHESIS OF PROTECTIN AND RESOLVIN CONJUGATES IN TISSUE REGENERATION (PCTR AND RCTR)%REACTOME%R-HSA-9026766.1	1		Rejected!	
PROGRAMMED CELL DEATH%REACTOME DATABASE ID RELEASE 79%5357801	213	188		
DEFECTIVE SLC22A18 CAUSES LUNG CANCER (LNCR) AND EMBRYONAL RHABDOMYOSARCOMA 1 (RMSE1)%REACTOME%R-HSA-5619066.1	1		Rejected!	
RUNX2 REGULATES OSTEOBLAST DIFFERENTIATION%REACTOME DATABASE ID RELEASE 79%8940973	23	16		
TRANSCRIPTIONAL REGULATION BY TP53%REACTOME%R-HSA-3700989.6	359		Rejected!	
LEISHMANIA INFECTION%REACTOME%R-HSA-9658195.2	336	126		
REGULATION OF BETA-CELL DEVELOPMENT%REACTOME%R-HSA-186712.2	39	18		
SYNTHESIS, SECRETION, AND INACTIVATION OF GLUCAGON-LIKE PEPTIDE-1 (GLP-1)%REACTOME DATABASE ID RELEASE 79%381771	21		Rejected!	
EUKARYOTIC TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 79%156842	95	89		
VITAMIN B2 (RIBOFLAVIN) METABOLISM%REACTOME DATABASE ID RELEASE 79%196843	7		Rejected!	
THE ROLE OF NEF IN HIV-1 REPLICATION AND DISEASE PATHOGENESIS%REACTOME%R-HSA-164952.1	28	21		
REGULATION OF PTEN STABILITY AND ACTIVITY%REACTOME%R-HSA-8948751.1	69	66		
ACTIVATION OF RAC1 DOWNSTREAM OF NMDARS%REACTOME%R-HSA-9619229.2	6		Rejected!	
DEFECTIVE B3GAT3 CAUSES JDSSDHD%REACTOME%R-HSA-3560801.1	20		Rejected!	
DEGRADATION OF THE EXTRACELLULAR MATRIX%REACTOME DATABASE ID RELEASE 79%1474228	111	64		
DEGRADATION OF GABA%REACTOME DATABASE ID RELEASE 79%916853	2		Rejected!	
FRS-MEDIATED FGFR2 SIGNALING%REACTOME%R-HSA-5654700.3	19		Rejected!	
NONHOMOLOGOUS END-JOINING (NHEJ)%REACTOME DATABASE ID RELEASE 79%5693571	52	39		
SEMA3A PAK DEPENDENT AXON REPULSION%REACTOME DATABASE ID RELEASE 79%399954	16	15		
DEFECTIVE PYROPTOSIS%REACTOME%R-HSA-9710421.3	42	22		
THE AIM2 INFLAMMASOME%REACTOME DATABASE ID RELEASE 79%844615	3		Rejected!	
ACTIVATION OF THE PHOTOTRANSDUCTION CASCADE%REACTOME%R-HSA-2485179.2	11		Rejected!	
SIGNALING BY BRAF AND RAF1 FUSIONS%REACTOME%R-HSA-6802952.2	62	54		
FERTILIZATION%REACTOME%R-HSA-1187000.2	26		Rejected!	
ESTROGEN-DEPENDENT GENE EXPRESSION%REACTOME%R-HSA-9018519.1	118	89		
CARGO TRAFFICKING TO THE PERICILIARY MEMBRANE%REACTOME%R-HSA-5620920.3	51	45		
DEFECTIVE ALG11 CAUSES CDG-1P%REACTOME DATABASE ID RELEASE 79%4551295	1		Rejected!	
DEFECTIVE PRO-SFTPC CAUSES SMDP2 AND RDS%REACTOME DATABASE ID RELEASE 79%5688354	1		Rejected!	
TRAF3 DEFICIENCY - HSE%REACTOME%R-HSA-5602571.2	3		Rejected!	
PHOSPHATE BOND HYDROLYSIS BY NUDT PROTEINS%REACTOME%R-HSA-2393930.6	4		Rejected!	
REGULATION OF MECP2 EXPRESSION AND ACTIVITY%REACTOME DATABASE ID RELEASE 79%9022692	30	28		
MOLECULES ASSOCIATED WITH ELASTIC FIBRES%REACTOME DATABASE ID RELEASE 79%2129379	30	23		
STAT3 NUCLEAR EVENTS DOWNSTREAM OF ALK SIGNALING%REACTOME%R-HSA-9701898.1	10		Rejected!	
P75NTR NEGATIVELY REGULATES CELL CYCLE VIA SC1%REACTOME DATABASE ID RELEASE 79%193670	6		Rejected!	
RHO GTPASES ACTIVATE WASPS AND WAVES%REACTOME%R-HSA-5663213.1	34	28		
DEFECTIVE CHST3 CAUSES SEDCJD%REACTOME%R-HSA-3595172.1	8		Rejected!	
LXR-MEDIATED SIGNALING%REACTOME DATABASE ID RELEASE 79%9024446	45	33		
IRAK4 DEFICIENCY (TLR2 4)%REACTOME DATABASE ID RELEASE 79%5603041	20		Rejected!	
DEX H-BOX HELICASES ACTIVATE TYPE I IFN AND INFLAMMATORY CYTOKINES PRODUCTION%REACTOME DATABASE ID RELEASE 79%3134963	7		Rejected!	
ACETYLCHOLINE BINDING AND DOWNSTREAM EVENTS%REACTOME%R-HSA-181431.7	14		Rejected!	
INTERLEUKIN-3, INTERLEUKIN-5 AND GM-CSF SIGNALING%REACTOME DATABASE ID RELEASE 79%512988	43	29		
REGULATION OF IFNG SIGNALING%REACTOME%R-HSA-877312.2	12		Rejected!	
NF-KB ACTIVATION THROUGH FADD RIP-1 PATHWAY MEDIATED BY CASPASE-8 AND -10%REACTOME DATABASE ID RELEASE 79%933543	13		Rejected!	
ROLE OF SECOND MESSENGERS IN NETRIN-1 SIGNALING%REACTOME%R-HSA-418890.1	10		Rejected!	
C6 DEAMINATION OF ADENOSINE%REACTOME DATABASE ID RELEASE 79%75102	2		Rejected!	
DRUG RESISTANCE OF KIT MUTANTS%REACTOME%R-HSA-9669937.2	1		Rejected!	
ACTIVATION OF THE MRNA UPON BINDING OF THE CAP-BINDING COMPLEX AND EIFS, AND SUBSEQUENT BINDING TO 43S%REACTOME%R-HSA-72662.3	60	57		
ACTIVATION OF G PROTEIN GATED POTASSIUM CHANNELS%REACTOME DATABASE ID RELEASE 79%1296041	29	17		
GLUCOCORTICOID BIOSYNTHESIS%REACTOME DATABASE ID RELEASE 79%194002	10		Rejected!	
OXYGEN-DEPENDENT PROLINE HYDROXYLATION OF HYPOXIA-INDUCIBLE FACTOR ALPHA%REACTOME%R-HSA-1234176.2	66	62		
KETONE BODY METABOLISM%REACTOME%R-HSA-74182.3	10		Rejected!	
DNA REPLICATION%REACTOME%R-HSA-69306.5	157	133		
CYTOSOLIC SENSORS OF PATHOGEN-ASSOCIATED DNA%REACTOME%R-HSA-1834949.2	64	60		
SIGNALING BY TGF-BETA RECEPTOR COMPLEX IN CANCER%REACTOME%R-HSA-3304351.2	7		Rejected!	
CHL1 INTERACTIONS%REACTOME DATABASE ID RELEASE 79%447041	9		Rejected!	
DEREGULATED CDK5 TRIGGERS MULTIPLE NEURODEGENERATIVE PATHWAYS IN ALZHEIMER'S DISEASE MODELS%REACTOME DATABASE ID RELEASE 79%8862803	21	19		
GSD 0%REACTOME%R-HSA-3858516.2	2		Rejected!	
RECEPTOR MEDIATED MITOPHAGY%REACTOME DATABASE ID RELEASE 79%8934903	9		Rejected!	
EVASION OF OXIDATIVE STRESS INDUCED SENESCENCE DUE TO DEFECTIVE P16INK4A BINDING TO CDK4 AND CDK6%REACTOME DATABASE ID RELEASE 79%9632700	3		Rejected!	
PROLINE CATABOLISM%REACTOME%R-HSA-70688.2	3		Rejected!	
PLC BETA MEDIATED EVENTS%REACTOME%R-HSA-112043.1	49	40		
DEFECTIVE NTHL1 SUBSTRATE BINDING%REACTOME DATABASE ID RELEASE 79%9630222	1		Rejected!	
RMTS METHYLATE HISTONE ARGININES%REACTOME%R-HSA-3214858.2	49	34		
PRPP BIOSYNTHESIS%REACTOME DATABASE ID RELEASE 79%73843	3		Rejected!	
SYNTHESIS OF IPS IN THE NUCLEUS%REACTOME%R-HSA-1855191.2	4		Rejected!	
RNA POLYMERASE I PROMOTER CLEARANCE%REACTOME%R-HSA-73854.3	79	59		
CATION-COUPLED CHLORIDE COTRANSPORTERS%REACTOME%R-HSA-426117.2	7		Rejected!	
SYNTHESIS OF PIPS AT THE EARLY ENDOSOME MEMBRANE%REACTOME%R-HSA-1660516.7	16	16		
MITOCHONDRIAL FATTY ACID BETA-OXIDATION OF SATURATED FATTY ACIDS%REACTOME DATABASE ID RELEASE 79%77286	11		Rejected!	
EFFECTS OF PIP2 HYDROLYSIS%REACTOME%R-HSA-114508.2	27	20		
DEFECTIVE MAN1B1 CAUSES MRT15%REACTOME DATABASE ID RELEASE 79%4793950	1		Rejected!	
DEFECTIVE ACY1 CAUSES ENCEPHALOPATHY%REACTOME%R-HSA-5579007.1	1		Rejected!	
DEFECTIVE HDR THROUGH HOMOLOGOUS RECOMBINATION REPAIR (HRR) DUE TO PALB2 LOSS OF BRCA1 BINDING FUNCTION%REACTOME DATABASE ID RELEASE 79%9704331	24	24		
PROTEIN UBIQUITINATION%REACTOME DATABASE ID RELEASE 79%8852135	76	66		
SMAC (DIABLO) BINDS TO IAPS%REACTOME DATABASE ID RELEASE 79%111463	7		Rejected!	
REGULATED NECROSIS%REACTOME%R-HSA-5218859.4	61	51		
PYROPHOSPHATE HYDROLYSIS%REACTOME DATABASE ID RELEASE 79%71737	3		Rejected!	
BETA-OXIDATION OF VERY LONG CHAIN FATTY ACIDS%REACTOME%R-HSA-390247.3	8		Rejected!	
MITOTIC G2-G2 M PHASES%REACTOME DATABASE ID RELEASE 79%453274	183	179		
DEFECTIVE B4GALT7 CAUSES EDS, PROGEROID TYPE%REACTOME DATABASE ID RELEASE 79%3560783	20		Rejected!	
MITOCHONDRIAL TRANSLATION%REACTOME DATABASE ID RELEASE 79%5368287	94	92		
BIOSYNTHESIS OF MARESIN-LIKE SPMS%REACTOME DATABASE ID RELEASE 79%9027307	6		Rejected!	
REGULATION OF GENE EXPRESSION IN EARLY PANCREATIC PRECURSOR CELLS%REACTOME DATABASE ID RELEASE 79%210747	7		Rejected!	
DISEASES OF DNA REPAIR%REACTOME DATABASE ID RELEASE 79%9675135	33	33		
SIGNALLING TO ERK5%REACTOME%R-HSA-198765.1	2		Rejected!	
POTENTIAL THERAPEUTICS FOR SARS%REACTOME%R-HSA-9679191.3	86	70		
SIGNALING BY MST1%REACTOME%R-HSA-8852405.1	5		Rejected!	
TOLL LIKE RECEPTOR 5 (TLR5) CASCADE%REACTOME DATABASE ID RELEASE 79%168176	85	79		
DEFECTIVE NEU1 CAUSES SIALIDOSIS%REACTOME%R-HSA-4341670.1	3		Rejected!	
LXRS REGULATE GENE EXPRESSION TO CONTROL BILE ACID HOMEOSTASIS%REACTOME%R-HSA-9623433.1	9		Rejected!	
DEFECTIVE SLC5A7 CAUSES DISTAL HEREDITARY MOTOR NEURONOPATHY 7A (HMN7A)%REACTOME DATABASE ID RELEASE 79%5658471	1		Rejected!	
PTK6 DOWN-REGULATION%REACTOME%R-HSA-8849472.1	3		Rejected!	
CALCITONIN-LIKE LIGAND RECEPTORS%REACTOME%R-HSA-419812.3	10		Rejected!	
INTERLEUKIN-36 PATHWAY%REACTOME DATABASE ID RELEASE 79%9014826	6		Rejected!	
ZBP1(DAI) MEDIATED INDUCTION OF TYPE I IFNS%REACTOME DATABASE ID RELEASE 79%1606322	21	18		
AUF1 (HNRNP D0) BINDS AND DESTABILIZES MRNA%REACTOME%R-HSA-450408.3	54	51		
AKT PHOSPHORYLATES TARGETS IN THE CYTOSOL%REACTOME%R-HSA-198323.4	14		Rejected!	
LATE PHASE OF HIV LIFE CYCLE%REACTOME%R-HSA-162599.2	142	127		
VOLTAGE GATED POTASSIUM CHANNELS%REACTOME DATABASE ID RELEASE 79%1296072	43		Rejected!	
DEFECTIVE DNA DOUBLE STRAND BREAK RESPONSE DUE TO BARD1 LOSS OF FUNCTION%REACTOME%R-HSA-9699150.2	2		Rejected!	
RESISTANCE OF ERBB2 KD MUTANTS TO OSIMERTINIB%REACTOME%R-HSA-9665247.1	4		Rejected!	
TRANSPORT OF BILE SALTS AND ORGANIC ACIDS, METAL IONS AND AMINE COMPOUNDS%REACTOME DATABASE ID RELEASE 79%425366	86	45		
TICAM1-DEPENDENT ACTIVATION OF IRF3 IRF7%REACTOME DATABASE ID RELEASE 79%9013973	12		Rejected!	
FGFR2 ALTERNATIVE SPLICING%REACTOME DATABASE ID RELEASE 79%6803529	26	25		
SIGNALING BY ERBB2 TMD JMD MUTANTS%REACTOME%R-HSA-9665686.2	18	16		
DEFECTIVE ABCA3 CAUSES SMDP3%REACTOME DATABASE ID RELEASE 79%5688399	1		Rejected!	
DEADENYLATION-DEPENDENT MRNA DECAY%REACTOME DATABASE ID RELEASE 79%429914	56	55		
PURINERGIC SIGNALING IN LEISHMANIASIS INFECTION%REACTOME DATABASE ID RELEASE 79%9660826	25	19		
TAT-MEDIATED HIV ELONGATION ARREST AND RECOVERY%REACTOME%R-HSA-167243.3	32	30		
RHOV GTPASE CYCLE%REACTOME DATABASE ID RELEASE 79%9013424	37	35		
E3 UBIQUITIN LIGASES UBIQUITINATE TARGET PROTEINS%REACTOME%R-HSA-8866654.3	56	46		
REACTIONS SPECIFIC TO THE HYBRID N-GLYCAN SYNTHESIS PATHWAY%REACTOME%R-HSA-975574.1	1		Rejected!	
EGFR DOWNREGULATION%REACTOME DATABASE ID RELEASE 79%182971	30	27		
REMOVAL OF AMINOTERMINAL PROPEPTIDES FROM GAMMA-CARBOXYLATED PROTEINS%REACTOME DATABASE ID RELEASE 79%159782	10		Rejected!	
PROSTANOID LIGAND RECEPTORS%REACTOME%R-HSA-391908.2	9		Rejected!	
TFAP2A ACTS AS A TRANSCRIPTIONAL REPRESSOR DURING RETINOIC ACID INDUCED CELL DIFFERENTIATION%REACTOME%R-HSA-8869496.2	5		Rejected!	
EUKARYOTIC TRANSLATION TERMINATION%REACTOME%R-HSA-72764.4	94	88		
SUMOYLATION OF TRANSCRIPTION FACTORS%REACTOME%R-HSA-3232118.7	18		Rejected!	
BDNF ACTIVATES NTRK2 (TRKB) SIGNALING%REACTOME DATABASE ID RELEASE 79%9024909	2		Rejected!	
ANTIMICROBIAL ACTION AND ANTIMICROBIAL RESISTANCE IN MTB%REACTOME%R-HSA-9639775.2	4		Rejected!	
REDUCTION OF CYTOSOLIC CA++ LEVELS%REACTOME%R-HSA-418359.1	12		Rejected!	
RNA POLYMERASE I TRANSCRIPTION TERMINATION%REACTOME DATABASE ID RELEASE 79%73863	31	31		
CD28 DEPENDENT VAV1 PATHWAY%REACTOME%R-HSA-389359.1	11		Rejected!	
ERBB2 REGULATES CELL MOTILITY%REACTOME%R-HSA-6785631.3	13		Rejected!	
NEGATIVE REGULATION OF FGFR3 SIGNALING%REACTOME DATABASE ID RELEASE 79%5654732	23	18		
SIGNALING BY CYTOSOLIC FGFR1 FUSION MUTANTS%REACTOME DATABASE ID RELEASE 79%1839117	16	16		
UREA CYCLE%REACTOME DATABASE ID RELEASE 79%70635	10		Rejected!	
DEFECTIVE INTRINSIC PATHWAY FOR APOPTOSIS%REACTOME DATABASE ID RELEASE 79%9734009	24	22		
DEFECTIVE ALG14 CAUSES ALG14-CMS%REACTOME%R-HSA-5633231.3	2		Rejected!	
HSF1 ACTIVATION%REACTOME%R-HSA-3371511.1	12		Rejected!	
TGFBR2 MSI FRAMESHIFT MUTANTS IN CANCER%REACTOME DATABASE ID RELEASE 79%3642279	2		Rejected!	
NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 79%975956	96	90		
PLASMALOGEN BIOSYNTHESIS%REACTOME DATABASE ID RELEASE 79%75896	3		Rejected!	
PROCESSING OF CAPPED INTRON-CONTAINING PRE-MRNA%REACTOME%R-HSA-72203.3	237		Rejected!	
DEFECTIVE HDR THROUGH HOMOLOGOUS RECOMBINATION REPAIR (HRR) DUE TO PALB2 LOSS OF BRCA2 RAD51 RAD51C BINDING FUNCTION%REACTOME%R-HSA-9704646.2	24	24		
CELL DIVISION%REACTOME DATABASE ID RELEASE 79%68884	13		Rejected!	
RESOLUTION OF AP SITES VIA THE MULTIPLE-NUCLEOTIDE PATCH REPLACEMENT PATHWAY%REACTOME DATABASE ID RELEASE 79%110373	25	25		
TRANSPORT OF HA TRIMER, NA TETRAMER AND M2 TETRAMER FROM THE ENDOPLASMIC RETICULUM TO THE GOLGI APPARATUS%REACTOME DATABASE ID RELEASE 79%168874	3		Rejected!	
DEFECTIVE F8 SECRETION%REACTOME DATABASE ID RELEASE 79%9672397	1		Rejected!	
SIGNALING BY PLASMA MEMBRANE FGFR1 FUSIONS%REACTOME DATABASE ID RELEASE 79%8853336	3		Rejected!	
BINDING OF TCF LEF:CTNNB1 TO TARGET GENE PROMOTERS%REACTOME%R-HSA-4411364.3	8		Rejected!	
SHC-MEDIATED CASCADE:FGFR4%REACTOME%R-HSA-5654719.2	15		Rejected!	
TOLL LIKE RECEPTOR TLR1:TLR2 CASCADE%REACTOME%R-HSA-168179.1	102	87		
PEPTIDE LIGAND-BINDING RECEPTORS%REACTOME DATABASE ID RELEASE 79%375276	196	41		
KSRP (KHSRP) BINDS AND DESTABILIZES MRNA%REACTOME%R-HSA-450604.2	17	17		
NON-CODING RNA METABOLISM%REACTOME DATABASE ID RELEASE 79%194441	50	49		
RHO GTPASE CYCLE%REACTOME%R-HSA-9012999.2	447		Rejected!	
BETA OXIDATION OF BUTANOYL-COA TO ACETYL-COA%REACTOME%R-HSA-77352.3	5		Rejected!	
SMAD2 3 MH2 DOMAIN MUTANTS IN CANCER%REACTOME DATABASE ID RELEASE 79%3315487	3		Rejected!	
RNA POLYMERASE III CHAIN ELONGATION%REACTOME%R-HSA-73780.2	18	18		
DEFECTIVE MPDU1 CAUSES CDG-1F%REACTOME%R-HSA-4687000.3	1		Rejected!	
DOWNREGULATION OF SMAD2 3:SMAD4 TRANSCRIPTIONAL ACTIVITY%REACTOME DATABASE ID RELEASE 79%2173795	27	26		
PEXIDARTINIB-RESISTANT FLT3 MUTANTS%REACTOME%R-HSA-9702605.1	1		Rejected!	
POST-TRANSLATIONAL PROTEIN PHOSPHORYLATION%REACTOME DATABASE ID RELEASE 79%8957275	107	73		
DEFECTIVE SLC24A1 CAUSES CONGENITAL STATIONARY NIGHT BLINDNESS 1D (CSNB1D)%REACTOME DATABASE ID RELEASE 79%5619077	1		Rejected!	
SMOOTH MUSCLE CONTRACTION%REACTOME%R-HSA-445355.6	39	30		
SYNTHESIS OF PIPS IN THE NUCLEUS%REACTOME%R-HSA-8847453.2	4		Rejected!	
RUNX1 AND FOXP3 CONTROL THE DEVELOPMENT OF REGULATORY T LYMPHOCYTES (TREGS)%REACTOME%R-HSA-8877330.1	10		Rejected!	
POTASSIUM CHANNELS%REACTOME%R-HSA-1296071.2	102	33		
BETA OXIDATION OF PALMITOYL-COA TO MYRISTOYL-COA%REACTOME%R-HSA-77305.2	3		Rejected!	
DEFECTIVE GALE CAUSES EDG%REACTOME%R-HSA-5609977.3	1		Rejected!	
SIGNALING BY FGFR2 AMPLIFICATION MUTANTS%REACTOME%R-HSA-2023837.1	1		Rejected!	
DISEASES OF SIGNAL TRANSDUCTION BY GROWTH FACTOR RECEPTORS AND SECOND MESSENGERS%REACTOME DATABASE ID RELEASE 79%5663202	417		Rejected!	
PHYSIOLOGICAL FACTORS%REACTOME%R-HSA-5578768.2	12		Rejected!	
DEFECTIVE DPM3 CAUSES CDG-1O%REACTOME DATABASE ID RELEASE 79%4719360	3		Rejected!	
MAP3K8 (TPL2)-DEPENDENT MAPK1 3 ACTIVATION%REACTOME%R-HSA-5684264.2	16	15		
DDX58 IFIH1-MEDIATED INDUCTION OF INTERFERON-ALPHA BETA%REACTOME DATABASE ID RELEASE 79%168928	81	64		
ORGANIC ANION TRANSPORT%REACTOME%R-HSA-561048.1	5		Rejected!	
LIGAND-RECEPTOR INTERACTIONS%REACTOME%R-HSA-5632681.1	8		Rejected!	
TACHYKININ RECEPTORS BIND TACHYKININS%REACTOME%R-HSA-380095.2	5		Rejected!	
MPS IV - MORQUIO SYNDROME A%REACTOME DATABASE ID RELEASE 79%2206290	1		Rejected!	
INHIBITION OF REPLICATION INITIATION OF DAMAGED DNA BY RB1 E2F1%REACTOME%R-HSA-113501.3	13		Rejected!	
REGULATION OF PAK-2P34 ACTIVITY BY PS-GAP RHG10%REACTOME%R-HSA-211728.2	2		Rejected!	
DNA METHYLATION%REACTOME DATABASE ID RELEASE 79%5334118	34		Rejected!	
SYNTHESIS OF PC%REACTOME DATABASE ID RELEASE 79%1483191	27	22		
ZINC TRANSPORTERS%REACTOME DATABASE ID RELEASE 79%435354	17		Rejected!	
INCRETIN SYNTHESIS, SECRETION, AND INACTIVATION%REACTOME DATABASE ID RELEASE 79%400508	24		Rejected!	
REGULATION OF INSULIN SECRETION%REACTOME DATABASE ID RELEASE 79%422356	76	45		
TRANSCRIPTION OF SARS-COV-2 SGRNAS%REACTOME%R-HSA-9694786.1	2		Rejected!	
SIGNALING BY RAF1 MUTANTS%REACTOME%R-HSA-9656223.1	38	31		
LAMININ INTERACTIONS%REACTOME DATABASE ID RELEASE 79%3000157	23	22		
DEFECTIVE ALG3 CAUSES CDG-1D%REACTOME DATABASE ID RELEASE 79%4720475	1		Rejected!	
CLEAVAGE OF THE DAMAGED PURINE%REACTOME%R-HSA-110331.3	36	17		
MUCOPOLYSACCHARIDOSES%REACTOME DATABASE ID RELEASE 79%2206281	11		Rejected!	
ERBB2 ACTIVATES PTK6 SIGNALING%REACTOME%R-HSA-8847993.1	11		Rejected!	
TRANSLESION SYNTHESIS BY POLI%REACTOME DATABASE ID RELEASE 79%5656121	17	17		
REGULATION OF COMPLEMENT CASCADE%REACTOME%R-HSA-977606.5	134	17		
SIGNALING BY FLT3 FUSION PROTEINS%REACTOME DATABASE ID RELEASE 79%9703465	17	16		
HYPUSINYLATION%REACTOME%R-HSA-204626.1	4		Rejected!	
MTF1 ACTIVATES GENE EXPRESSION%REACTOME%R-HSA-5660489.1	3		Rejected!	
ARL13B-MEDIATED CILIARY TRAFFICKING OF INPP5E%REACTOME DATABASE ID RELEASE 79%5624958	3		Rejected!	
ACTIVATION OF SMO%REACTOME DATABASE ID RELEASE 79%5635838	18	16		
HDACS DEACETYLATE HISTONES%REACTOME%R-HSA-3214815.3	60	37		
RAF-INDEPENDENT MAPK1 3 ACTIVATION%REACTOME DATABASE ID RELEASE 79%112409	22	20		
ESTROGEN-DEPENDENT NUCLEAR EVENTS DOWNSTREAM OF ESR-MEMBRANE SIGNALING%REACTOME DATABASE ID RELEASE 79%9634638	24	22		
THE ROLE OF GTSE1 IN G2 M PROGRESSION AFTER G2 CHECKPOINT%REACTOME%R-HSA-8852276.2	60	57		
TRIF(TICAM1)-MEDIATED TLR4 SIGNALING%REACTOME%R-HSA-937061.2	96	90		
DEFECTIVE ABCC8 CAN CAUSE HYPO- AND HYPER-GLYCEMIAS%REACTOME DATABASE ID RELEASE 79%5683177	1		Rejected!	
ACETYLCHOLINE REGULATES INSULIN SECRETION%REACTOME DATABASE ID RELEASE 79%399997	10		Rejected!	
G2 M TRANSITION%REACTOME DATABASE ID RELEASE 79%69275	181	177		
PECAM1 INTERACTIONS%REACTOME DATABASE ID RELEASE 79%210990	11		Rejected!	
FGFR2 MUTANT RECEPTOR ACTIVATION%REACTOME%R-HSA-1839126.2	30	20		
PRESYNAPTIC FUNCTION OF KAINATE RECEPTORS%REACTOME DATABASE ID RELEASE 79%500657	21		Rejected!	
CYTOSOLIC TRNA AMINOACYLATION%REACTOME DATABASE ID RELEASE 79%379716	24	24		
GROWTH HORMONE RECEPTOR SIGNALING%REACTOME%R-HSA-982772.1	22	16		
BIOSYNTHESIS OF DPAN-3-DERIVED MARESINS%REACTOME%R-HSA-9026290.1	2		Rejected!	
DEFECTIVE POMT2 CAUSES MDDGA2, MDDGB2 AND MDDGC2%REACTOME%R-HSA-5083629.1	3		Rejected!	
FMO OXIDISES NUCLEOPHILES%REACTOME DATABASE ID RELEASE 79%217271	3		Rejected!	
APOPTOTIC EXECUTION PHASE%REACTOME DATABASE ID RELEASE 79%75153	51	45		
FGFR3 LIGAND BINDING AND ACTIVATION%REACTOME DATABASE ID RELEASE 79%190239	9		Rejected!	
HYALURONAN METABOLISM%REACTOME DATABASE ID RELEASE 79%2142845	17		Rejected!	
MRNA EDITING: C TO U CONVERSION%REACTOME%R-HSA-72200.4	8		Rejected!	
INSULIN RECEPTOR SIGNALLING CASCADE%REACTOME DATABASE ID RELEASE 79%74751	45	29		
HEREDITARY FRUCTOSE INTOLERANCE%REACTOME DATABASE ID RELEASE 79%5657560	1		Rejected!	
DEFECTIVE SLC6A3 CAUSES PARKINSONISM-DYSTONIA INFANTILE (PKDYS)%REACTOME DATABASE ID RELEASE 79%5619081	1		Rejected!	
POST-TRANSLATIONAL MODIFICATION: SYNTHESIS OF GPI-ANCHORED PROTEINS%REACTOME DATABASE ID RELEASE 79%163125	92	44		
TOLL LIKE RECEPTOR 2 (TLR2) CASCADE%REACTOME%R-HSA-181438.1	102	87		
APOPTOTIC CLEAVAGE OF CELLULAR PROTEINS%REACTOME%R-HSA-111465.3	37	34		
CARNITINE SYNTHESIS%REACTOME DATABASE ID RELEASE 79%71262	4		Rejected!	
CELLULAR RESPONSE TO CHEMICAL STRESS%REACTOME%R-HSA-9711123.2	156	137		
POSTMITOTIC NUCLEAR PORE COMPLEX (NPC) REFORMATION%REACTOME%R-HSA-9615933.1	24	24		
INTERCONVERSION OF 2-OXOGLUTARATE AND 2-HYDROXYGLUTARATE%REACTOME%R-HSA-880009.1	3		Rejected!	
MYOGENESIS%REACTOME%R-HSA-525793.2	28	21		
CYCLIN A:CDK2-ASSOCIATED EVENTS AT S PHASE ENTRY%REACTOME%R-HSA-69656.3	85	83		
RHESUS GLYCOPROTEINS MEDIATE AMMONIUM TRANSPORT.%REACTOME DATABASE ID RELEASE 79%444411	3		Rejected!	
GOLGI-TO-ER RETROGRADE TRANSPORT%REACTOME DATABASE ID RELEASE 79%8856688	117	105		
INTERFERON SIGNALING%REACTOME%R-HSA-913531.2	199	155		
TRAF6-MEDIATED INDUCTION OF TAK1 COMPLEX WITHIN TLR4 COMPLEX%REACTOME%R-HSA-937072.2	15		Rejected!	
NEUTROPHIL DEGRANULATION%REACTOME%R-HSA-6798695.2	478		Rejected!	
ALKBH3 MEDIATED REVERSAL OF ALKYLATION DAMAGE%REACTOME%R-HSA-112126.1	4		Rejected!	
ESTABLISHMENT OF SISTER CHROMATID COHESION%REACTOME%R-HSA-2468052.1	11		Rejected!	
CGMP EFFECTS%REACTOME DATABASE ID RELEASE 79%418457	15		Rejected!	
ACTIVATION OF BID AND TRANSLOCATION TO MITOCHONDRIA%REACTOME%R-HSA-75108.3	4		Rejected!	
SIGNALING BY ERBB2 IN CANCER%REACTOME DATABASE ID RELEASE 79%1227990	22	20		
NEURONAL SYSTEM%REACTOME DATABASE ID RELEASE 79%112316	383	196		
CERAMIDE SIGNALLING%REACTOME DATABASE ID RELEASE 79%193681	3		Rejected!	
RNA POLYMERASE III TRANSCRIPTION INITIATION%REACTOME%R-HSA-76046.2	36	36		
SYNTHESIS OF HEPOXILINS (HX) AND TRIOXILINS (TRX)%REACTOME DATABASE ID RELEASE 79%2142696	1		Rejected!	
NEF-MEDIATES DOWN MODULATION OF CELL SURFACE RECEPTORS BY RECRUITING THEM TO CLATHRIN ADAPTERS%REACTOME%R-HSA-164938.1	22	17		
FASL  CD95L SIGNALING%REACTOME%R-HSA-75157.2	5		Rejected!	
RUNX3 REGULATES YAP1-MEDIATED TRANSCRIPTION%REACTOME DATABASE ID RELEASE 79%8951671	8		Rejected!	
